Correct,Wrong
SUBCOUNCIL 1,ATLANTIS
SUBCOUNCIL 6,BELHAR
SUBCOUNCIL 6,BELLVILLE
SUBCOUNCIL 2,BRACKENFELL
SUBCOUNCIL 15,BROOKLYN
SUBCOUNCIL 20,CONSTANTIA
SUBCOUNCIL 7,DURBANVILLE
SUBCOUNCIL 15,EDMD
SUBCOUNCIL 4,EPPING
SUBCOUNCIL 19,FISH HOEK
SUBCOUNCIL 4,GOODWOOD
SUBCOUNCIL 14,GUGULETU
SUBCOUNCIL 16,HOUT BAY
SUBCOUNCIL 10,KHAYELITSHA
SUBCOUNCIL 7,KRAAIFONTEIN
SUBCOUNCIL 21,KUILSRIVIER
SUBCOUNCIL 19,LAKESIDE
SUBCOUNCIL 17,LANSDOWNE
SUBCOUNCIL 24,MACASSAR
SUBCOUNCIL 1,MELKBOS
SUBCOUNCIL 22,MFULENI
SUBCOUNCIL 15,MILNERTON
SUBCOUNCIL 9,MITCHELLS PLAIN
SUBCOUNCIL 18,OTTERY
SUBCOUNCIL 2,PAARL
SUBCOUNCIL 16,ROELAND STREET
SUBCOUNCIL 16,SALT RIVER
SUBCOUNCIL 16,SEA POINT
SUBCOUNCIL 19,SIMONSTOWN
SUBCOUNCIL 24,SOMERSET WEST
SUBCOUNCIL 3,STELLENBOSCH
SUBCOUNCIL 8,STRAND
SUBCOUNCIL 18,WYNBERG
